Designator,Mid X,Mid Y,Rotation,Layer
C1,134.375,-68.15,0.0,top
C10,155.745,-62.06,0.0,top
C11,161.665,-64.2275,90.0,top
C12,149.625,-80.85,180.0,top
C13,163.835,-82.33,0.0,top
C14,152.155,-69.74,180.0,top
C15,163.065,-68.36,0.0,top
C16,167.575,-70.05,90.0,top
C17,133.0125,-91.75,90.0,top
C18,144.275,-95.45,0.0,top
C19,134.3125,-86.45,180.0,top
C20,134.0125,-89.35,0.0,top
C21,132.975,-94.25,180.0,top
C23,150.475,-119.05,180.0,top
C24,154.075,-107.65,90.0,top
C25,145.175,-117.75,270.0,top
C26,148.075,-118.05,90.0,top
C27,152.975,-119.0875,270.0,top
C28,174.625,-98.86,90.0,top
C29,135.0125,-87.85,0.0,top
C3,166.035,-68.53,90.0,top
C30,146.575,-117.05,90.0,top
C31,176.825,-104.58,0.0,top
C32,131.375,-87.44,270.0,top
C33,146.165,-120.6375,0.0,top
C34,150.275,-75.55,90.0,top
C35,182.425,-104.08,90.0,top
C36,128.275,-86.85,180.0,top
C37,145.575,-123.7875,270.0,top
C38,185.9625,-83.83,0.0,top
C39,128.975,-110.35,180.0,top
C4,138.375,-68.15,0.0,top
C40,169.075,-123.15,270.0,top
C41,185.125,-97.26,0.0,top
C42,129.075,-96.75,270.0,top
C43,155.475,-122.9875,0.0,top
C44,165.185,-70.94,0.0,top
C45,148.775,-76.55,90.0,top
C46,147.3275,-76.6,90.0,top
C5,177.025,-102.78,180.0,top
C6,178.7625,-89.59,180.0,top
C7,173.155,-97.73,270.0,top
C8,175.925,-101.28,180.0,top
C9,179.475,-101.755,270.0,top
D1,146.075,-68.75,0.0,top
D2,145.6775,-67.02,0.0,top
D3,111.325,-73.15,90.0,top
D7,132.675,-138.75,90.0,top
D8,142.335,-70.51,180.0,top
D9,106.875,-80.35,0.0,top
H1,118.0,-67.0,0.0,top
H2,110.0,-140.0,0.0,top
H3,200.0,-67.0,0.0,top
H4,200.0,-140.0,0.0,top
IC1,179.265,-94.93,90.0,top
IC2,138.3625,-94.6,0.0,top
IC3,153.325,-113.7,90.0,top
J1,103.295,-74.07,270.0,top
J10,207.675,-117.25,90.0,top
J11,105.375,-111.15,270.0,top
J12,170.975,-144.25,0.0,top
J13,172.0625,-64.15,180.0,top
J14,124.175,-143.4895,180.0,top
J3,204.4125,-99.25,270.0,top
J4,169.565,-93.45,90.0,top
J5,135.9,-82.85,0.0,top
J6,140.2,-113.45,90.0,top
J7,151.175,-143.4875,180.0,top
J8,108.6675,-92.59,90.0,top
J9,181.405,-70.95,0.0,top
Q1,194.115,-108.895,90.0,top
Q10,119.675,-107.49,90.0,top
Q11,119.575,-103.45,270.0,top
Q12,166.215,-132.3875,180.0,top
Q13,143.66,-132.6875,0.0,top
Q14,148.3,-132.6875,180.0,top
Q15,162.175,-132.4875,0.0,top
Q19,194.115,-100.195,270.0,top
Q2,194.115,-104.555,270.0,top
Q20,119.375,-93.975,90.0,top
Q21,152.7,-132.6875,180.0,top
Q3,194.415,-95.895,90.0,top
Q4,119.575,-98.225,270.0,top
Q5,194.415,-91.745,90.0,top
Q6,194.415,-87.495,270.0,top
Q7,119.375,-84.935,270.0,top
Q8,119.375,-89.575,90.0,top
Q9,156.95,-132.4875,0.0,top
R1,109.875,-69.75,270.0,top
R10,126.075,-89.55,180.0,top
R11,148.275,-125.9875,270.0,top
R12,187.715,-87.28,0.0,top
R13,126.775,-107.65,180.0,top
R14,166.375,-125.2875,270.0,top
R15,187.415,-99.98,0.0,top
R16,126.175,-93.55,180.0,top
R17,152.275,-125.8875,270.0,top
R18,134.375,-138.85,90.0,top
R19,145.835,-70.51,0.0,top
R2,111.175,-75.65,180.0,top
R20,105.075,-81.85,180.0,top
R25,142.575,-68.75,180.0,top
R29,164.125,-90.96,180.0,top
R30,138.305,-77.5075,90.0,top
R31,134.815,-110.79,180.0,top
R32,164.1325,-93.48,180.0,top
R33,135.795,-77.5,90.0,top
R34,134.815,-113.39,180.0,top
R35,164.105,-95.98,180.0,top
R37,133.675,-77.55,90.0,top
R38,134.955,-115.98,180.0,top
R4,178.755,-88.03,0.0,top
R45,162.935,-87.41,270.0,top
R5,156.615,-64.56,90.0,top
R6,142.375,-66.99,180.0,top
R7,144.155,-93.84,0.0,top
R8,152.565,-107.9075,90.0,top
R9,187.315,-104.28,0.0,top
U1,157.985,-75.93,180.0,top
U5,138.13,-70.99,0.0,top
Y2,159.115,-64.0,180.0,top
